FEN,Evaluation
r3rbk1/ppp2pp1/2npq2p/P3p3/2P1P3/4NN2/1PP2PPP/R2QR1K1 b - - 0 14,-25
rn2kb1r/ppq2ppp/2p1pn2/3pN2b/2PP4/1QNBP3/PP3PPP/R1B1K2R b KQkq - 5 8,+15
2b2k2/p4pp1/1p1p1n1p/3Pp3/4P3/P5P1/1PBN1P1P/6K1 b - - 0 24,-25
8/4pk1p/1p4p1/1P3p2/2Pr4/8/4KPPP/2R5 w - - 2 29,0
r3k1nr/ppp2pp1/2npB1q1/2b3N1/4P2P/1QP5/P2N1PP1/R3K2R b KQkq - 0 12,0
1rb2rk1/q3p1bp/pN1p2p1/PnpP1P2/8/8/1P2BPPP/R1BQ1RK1 b - - 0 18,0
r1b2rk1/4qppp/p1n1p3/1p1pP3/n4P2/1NBB4/PPP3PP/1K1RQR2 b - - 0 17,+6
r1b2rk1/pp1Nq1pp/2p1p3/1nPp1p2/3P4/6P1/PPQNPPBP/R4RK1 b - - 0 14,+42
r4rk1/pp3p2/1b2bBp1/4N2q/3PpQ2/7p/PP3P1K/R5R1 b - - 3 27,+47
r3kb1r/pp1nppp1/3q2bp/3p4/3P1N1P/2P3N1/PP3PP1/R1BQ1RK1 b kq - 0 12,0
r3k2r/1p1nbppp/1pp1pn2/3p4/2PP2b1/1PN1PN2/P2BBPPP/R3K2R b KQkq - 0 10,-41
qr6/3nppk1/r2p1bpp/2pP4/4P3/1PN2NP1/P2QRPKP/2R5 b - - 0 18,+13
r1b2rk1/ppp2ppp/2np2q1/4p3/2B1P1n1/2PP1N2/PP4PP/R1BQ2KR w - - 2 11,-33
r2qkb1r/pp1b1ppp/2n1pn2/2pp4/3P4/1P1BPN2/P1PN1PPP/R1BQ1RK1 b kq - 4 7,+40
r2q1rk1/1p1bbppp/p1nppn2/1Bp5/4PP2/1PNP1N2/PBP3PP/R2Q1RK1 w - - 0 10,-4
2r5/6pk/6bp/p1NBp3/8/1P4PP/P7/4R1K1 b - - 0 44,+46
8/R5bk/6p1/7p/8/8/6KP/8 w - - 0 48,+32
3rqr1k/p3b1pp/2b5/2ppPpn1/8/P3PPP1/QB1N2BP/2RR2K1 w - - 1 22,0
3b4/nr3ppp/p1k1p3/1Pp1P3/2P1KPP1/N3P3/1R5P/4B3 b - - 0 37,0
7r/7p/5R2/2kp4/8/5P2/PP3r2/1K2R3 b - - 0 27,0
1r6/5k2/p6p/3p4/P2p4/1P3P2/6PP/4K2R w K - 0 27,+13
r2q1rk1/pp2bppp/2n1bn2/3p4/8/2N1BNP1/PPQ1PPBP/R2R2K1 b - - 7 12,+23
6k1/p2q1pp1/1prb3p/3p4/3P1B2/P4P2/1P1Q2PP/2R3K1 b - - 1 23,-42
r1b2r1k/1pp3pp/p4q1n/n3p3/4Pp2/1BP2N1P/PP1R1PPN/R2Q2K1 w - - 4 19,+22
8/2k5/8/4N3/2KR4/7r/8/8 w - - 109 142,0
4r3/1R6/3B1p2/p1P3p1/1pk1P3/2b2KP1/P7/8 w - - 1 41,0
3r4/1p3qpk/2p2bpp/8/p1P1B3/P7/1PQ2PPP/4R1K1 w - - 2 28,+40
r2q1rk1/3nbppp/bpp1p3/p2p4/2PP1B2/2P2NP1/PQ2PPBP/1R3RK1 w - - 4 17,0
3r1k1r/pp1nb1pn/2p1q3/8/2PP1B2/5N2/PP3PPP/R3R1K1 w - - 0 18,-45
3b4/1p6/p3n3/6pk/4Np2/BP3P1P/P4PK1/8 b - - 15 48,0
3rr1k1/ppqn1ppp/2nR4/2p1P1NQ/1p3P2/6P1/P4RBP/6K1 b - - 8 22,0
